CodMun,area_territorial
2414456,"268,725"
2414506,"213,584"
2414605,"873,14"
2414704,"72,684"
2414753,"71,621"
2414803,"84,127"
2414902,"37,905"
2415008,"47,656"
2500106,"241,662"
2500205,"351,607"
2500304,"322,071"
2500403,"128,23"
2500502,"111,361"
2500536,"309,896"
2500577,"222,74"
2500601,"183,974"
2500700,"476,238"
2500734,"122,094"
2500775,"291,478"
2500809,"232,177"
2500908,"91,306"
2501005,"246,717"
2501104,"269,13"
2501153,"114,078"
2501203,"35,81"
2501302,"376,118"
2501351,"132,139"
2501401,"102,756"
2501500,"255,641"
2501534,"50,03"
2501575,"375,177"
2501609,"781,187"
2501708,"609,697"
2501807,"27,705"
2501906,"99,609"
2502003,"601,549"
2502052,"57,453"
2502102,"168,664"
2502151,"468,933"
2502201,"47,367"
2502300,"186,059"
2502409,"226,798"
2502508,"373,077"
2502607,"197,058"
2502706,"26,107"
2502805,"401,315"
2502904,"93,857"
2503001,"151,018"
2503100,"469,171"
2503209,"29,873"
2503308,"193,215"
2503407,"213,018"
2503506,"165,072"
2503555,"124,068"
2503605,"123,677"
2503704,"562,703"
2503753,"282,693"
2503803,"55,963"
2503902,"541,841"
2504009,"591,658"
2504033,"79,876"
2504074,"486,622"
2504108,"59,07"
2504157,"202,761"
2504207,"527,424"
2504306,"551,765"
2504355,"117,823"
2504405,"580,65"
2504504,"265,473"
2504603,"171,267"
2504702,"324,686"
2504801,"372,012"
2504850,"173,942"
2504900,"192,512"
2505006,"163,57"
2505105,"733,818"
2505204,"42,091"
2505238,"107,68"
2505279,"86,428"
2505303,"217,624"
2505352,"186,198"
2505402,"182,018"
2505501,"60,39"
2505600,"271,791"
2505709,"173,648"
2505808,"27,012"
2505907,"248,226"
2506004,"157,851"
2506103,"185,061"
2506202,"238,658"
2506251,"192,42"
2506301,"162,387"
2506400,"340,408"
2506509,"344,502"
2506608,"240,357"
2506707,"317,804"
2506806,"262,179"
2506905,"210,572"
2507002,"460,21"
2507101,"145,806"
